latitude,longitude
22044177@N08,20240713-R62_2142,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_2154,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_2172,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_2168,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_2196,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_2215,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_2244,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_2255,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_2264,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_2320,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_2515,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_2555,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_2584,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_2700,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_2800,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_2808,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_0802,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_0866,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_0893,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_0898,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_0916,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_0988,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_1056,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_1099,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_1132,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_1192,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_1249,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_1254,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_1260,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_1358,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_1422,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_1436,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_1483,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_1493,5576432,16,40.155638,-105.129075
