latitude,longitude
39.994694,-105.264106
40.063422,-105.408700
39.983913,-105.248856
40.043589,-105.191473
39.989677,-105.293887
39.989727,-105.294264
39.991008,-105.319673
40.087183,-105.148912
40.071183,-105.228837
39.884524,-105.275276
39.956719,-105.167725
39.956477,-105.168145
39.982955,-105.248512
40.071183,-105.228828
40.071169,-105.228828
40.023730,-105.256037
39.904055,-105.236756
40.001468,-105.092791
40.028789,-105.211381
40.033681,-105.211495
40.033681,-105.211495
40.028969,-105.252313
40.017101,-105.192967
40.040041,-105.185036
39.973061,-105.272348
39.930855,-105.408959
39.930650,-105.405800
39.921647,-105.291206
39.978405,-105.277625
39.978252,-105.276559
39.977536,-105.276803
39.977383,-105.278473
39.978072,-105.275392
39.978630,-105.274881
39.978011,-105.275214
39.977955,-105.275200
39.977977,-105.275253
39.977955,-105.275200
39.977944,-105.275148
39.978019,-105.275214
39.978052,-105.275331
39.978019,-105.275214
39.978052,-105.275331
39.880202,-105.275128
39.995491,-105.261025
39.984572,-105.275489
39.990519,-105.320612
39.998713,-105.309862
39.997238,-105.285806
39.990291,-105.290398
39.990291,-105.290445
39.994866,-105.281823
39.989113,-105.291131
39.989119,-105.291131
39.989097,-105.291175
39.989102,-105.291170
39.989136,-105.291145
39.989119,-105.291131
39.989113,-105.291131
39.989113,-105.291139
39.989083,-105.291170
39.988333,-105.291939
39.988952,-105.291170
39.988444,-105.291528
39.988444,-105.291642
39.989869,-105.290909
39.988444,-105.291642
39.995383,-105.284187
39.995163,-105.285453
39.997202,-105.285645
39.999427,-105.282975
40.015336,-105.277573
40.009583,-105.251953
40.018569,-105.277206
40.018566,-105.277206
40.007183,-105.268509
40.007183,-105.268503
39.983430,-105.323450
40.015080,-105.277473
39.930205,-105.345600
39.880144,-105.275042
40.018313,-105.338587
40.015463,-105.277306
40.015433,-105.277473
40.015452,-105.277589
40.015475,-105.277589
40.015452,-105.277512
40.039605,-105.187933
39.978486,-105.275314
39.977766,-105.275353
40.017702,-105.281006
40.017997,-105.280014
40.004475,-105.405556
40.154474,-105.299427
40.154260,-105.299341
39.950741,-105.326756
39.950075,-105.338567
39.948994,-105.325648
39.948994,-105.325648
39.931467,-105.421446
39.880333,-105.281649
40.043687,-105.191924
39.872672,-105.270217
39.880933,-105.275670
40.154342,-105.299921
39.984575,-105.248089
39.983233,-105.249900
39.966847,-105.260217
40.055524,-105.282709
39.938991,-105.236409
40.153063,-105.300071
39.930697,-105.291389
39.930266,-105.291984
39.930327,-105.291787
39.930266,-105.291984
39.930777,-105.291420
39.931502,-105.280975
40.031680,-105.214967
40.031625,-105.214998
40.031625,-105.214995
39.985200,-105.250470
39.984444,-105.248289
39.883733,-105.274858
40.038366,-105.396089
40.038772,-105.396123
39.876447,-105.279198
39.912994,-105.184212
39.879905,-105.282390
40.044946,-105.187976
39.879131,-105.283602
40.014610,-105.187901
39.923247,-105.242339
39.923247,-105.242312
39.980008,-105.273453
40.014180,-105.310767
39.921248,-105.330820
39.994677,-105.263389
39.910123,-105.311787
40.037888,-105.328737
40.037677,-105.329300
40.038013,-105.328873
40.037888,-105.328773
40.054622,-105.304742
40.054627,-105.304742
40.054619,-105.304748
40.038197,-105.299592
40.038344,-105.299448
39.897866,-105.277534
39.929172,-105.418795
39.914146,-105.209716
39.914146,-105.209716
39.914146,-105.209716
39.914146,-105.209716
39.978400,-105.166403
39.995213,-105.282587
40.030716,-105.211412
39.929527,-105.286934
39.929363,-105.287598
39.929538,-105.286964
39.937069,-105.266998
39.929608,-105.286248
39.929241,-105.275628
39.929213,-105.275681
39.929213,-105.275712
39.929255,-105.275689
39.929213,-105.275712
39.929241,-105.275720
39.929213,-105.275712
39.929211,-105.275628
39.929219,-105.275659
39.929252,-105.275642
39.929252,-105.275642
39.929230,-105.275673
39.929230,-105.275673
39.929230,-105.275673
39.929255,-105.275703
39.930000,-105.282884
39.929958,-105.282914
39.930805,-105.282181
39.929219,-105.275659
40.019438,-105.272806
40.019755,-105.273339
40.019786,-105.273423
40.019347,-105.273584
40.019383,-105.272775
40.017730,-105.278350
40.019294,-105.273598
39.882838,-105.274820
39.961577,-105.155617
39.880144,-105.274895
40.019213,-105.275428
39.879329,-105.277841
39.883733,-105.274858
39.905211,-105.281731
40.021391,-105.247498
40.021572,-105.247337
40.021616,-105.247384
40.021727,-105.247437
40.021672,-105.247392
40.021625,-105.247353
40.021755,-105.247437
40.021655,-105.247398
40.021686,-105.247367
40.021805,-105.247489
40.021633,-105.247367
40.021583,-105.247323
39.958930,-105.278000
39.958927,-105.278009
39.959438,-105.278053
39.959747,-105.277795
39.959502,-105.277939
39.959030,-105.278031
39.959550,-105.277695
39.959780,-105.277787
39.958930,-105.278039
39.958950,-105.277992
39.959433,-105.277809
39.959419,-105.277992
39.959525,-105.278031
39.959377,-105.277870
39.959541,-105.278053
39.959416,-105.277764
39.959636,-105.277664
39.959880,-105.276573
39.959872,-105.276573
39.959847,-105.276459
40.018355,-105.280434
40.018272,-105.280425
40.018544,-105.279137
