latitude,longitude
39.931895,-105.428591
39.931936,-105.422776
39.931938,-105.286095
39.931941,-105.285981
39.931952,-105.424869
39.931980,-105.286117
39.931980,-105.286148
39.931983,-105.286081
39.931983,-105.286095
39.931994,-105.286073
39.931994,-105.286125
39.932011,-105.286095
39.932019,-105.286156
39.932019,-105.286248
39.932022,-105.286042
39.932055,-105.286156
39.932055,-105.286248
39.932072,-105.286256
39.932072,-105.286309
39.932091,-105.286148
39.932111,-105.286217
39.932177,-105.279603
39.932186,-105.279542
39.932216,-105.279327
39.932238,-105.279464
39.932261,-105.430726
39.932308,-105.279464
39.932516,-105.430503
39.932575,-105.286439
39.932817,-105.279990
39.934027,-105.212570
39.934227,-105.434437
39.934733,-105.434138
39.934913,-105.249739
39.935333,-105.141167
39.935833,-105.141167
39.936530,-105.313050
39.936715,-105.237017
39.936811,-105.438245
39.937092,-105.236976
39.937447,-105.236792
39.937500,-105.236573
39.937897,-105.236473
39.938011,-105.198981
39.938300,-105.236664
39.938572,-105.212684
39.938677,-105.201873
39.938677,-105.201881
39.938688,-105.201737
39.939224,-105.236489
39.939230,-105.236489
39.939238,-105.275725
39.939755,-105.198762
39.940497,-105.235923
39.940569,-105.189750
39.941097,-105.235795
39.941253,-105.266489
39.941799,-105.286834
39.942333,-105.235667
39.942619,-105.284989
39.943188,-105.284212
39.943241,-105.280695
39.943255,-105.281273
39.943263,-105.280609
39.943313,-105.280656
39.943388,-105.280525
39.944974,-105.155768
39.945319,-105.280687
39.945463,-105.276023
39.946569,-105.167142
39.947355,-105.265481
39.947586,-105.268587
39.948127,-105.269156
39.948136,-105.269150
39.948569,-105.274378
39.948874,-105.270728
39.948994,-105.325648
39.949163,-105.267328
39.949877,-105.269256
39.949888,-105.267137
39.949894,-105.267137
39.949916,-105.275187
39.949927,-105.275162
39.949936,-105.269220
39.949955,-105.269137
39.949955,-105.275123
39.949977,-105.269120
39.950044,-105.267220
39.950055,-105.267198
39.950075,-105.338567
39.950086,-105.267228
39.950744,-105.278948
39.950877,-105.278595
39.950977,-105.243256
39.951788,-105.265853
39.951841,-105.293337
39.951841,-105.293345
39.952447,-105.277053
39.952472,-105.276178
39.952552,-105.276070
39.952580,-105.276139
39.952583,-105.276131
39.952586,-105.276139
39.952594,-105.276148
39.952602,-105.276139
39.952636,-105.275650
39.952647,-105.275681
39.952927,-105.277528
39.952936,-105.277520
39.953150,-105.358479
39.953186,-105.284348
39.953380,-105.269784
39.953588,-105.278314
39.953755,-105.277878
39.953766,-105.277870
39.953786,-105.277878
39.953850,-105.232825
39.954086,-105.278459
39.954130,-105.278620
39.954166,-105.241509
39.954494,-105.280167
39.954694,-105.278878
39.955036,-105.296103
39.955038,-105.296106
39.955252,-105.379031
39.955330,-105.166314
39.955341,-105.166351
39.955383,-105.166428
39.955583,-105.379934
39.955925,-105.380203
39.956066,-105.380378
39.956097,-105.380348
39.956122,-105.380348
39.956238,-105.380317
39.956322,-105.204912
39.956477,-105.168145
39.956494,-105.260314
39.956508,-105.168250
39.956561,-105.167917
39.956616,-105.167817
39.956641,-105.167892
39.956680,-105.168123
39.956719,-105.167725
39.956722,-105.167870
39.956733,-105.167953
39.956913,-105.296495
39.956916,-105.381506
39.956919,-105.296531
39.956986,-105.306520
39.957117,-105.334739
39.957266,-105.279778
39.957583,-105.442620
39.957594,-105.442603
39.957608,-105.442589
39.957633,-105.442537
39.957702,-105.309512
39.957722,-105.123723
39.957938,-105.240059
39.958222,-105.310439
39.958247,-105.299256
39.958302,-105.299120
39.958363,-105.305734
39.958421,-105.279986
39.958486,-105.313898
39.958536,-105.313873
39.958538,-105.313898
39.958541,-105.313903
39.958544,-105.313950
39.958622,-105.313689
39.958633,-105.316253
39.958636,-105.316262
39.958763,-105.272378
39.958794,-105.314614
39.958936,-105.278062
39.958950,-105.277992
39.958961,-105.278039
39.958969,-105.299881
39.958991,-105.299898
39.959055,-105.303956
39.959063,-105.303948
39.959197,-105.174112
39.959205,-105.174142
39.959377,-105.277870
39.959416,-105.277817
39.959419,-105.277992
39.959419,-105.278023
39.959422,-105.277773
39.959438,-105.278053
39.959441,-105.315895
39.959469,-105.278000
39.959488,-105.277612
39.959502,-105.277939
39.959538,-105.278014
39.959541,-105.278053
39.959550,-105.277695
39.959575,-105.287187
39.959594,-105.277625
39.959655,-105.286925
39.959702,-105.286912
39.959747,-105.277795
39.959780,-105.277787
